KEY_benef_loc;match_score;KEY_inegi_localidad
jose joaquin de herrera-tequixca;100;jose joaquin de herrera-tequixca
ayutla de los libres-cerro gordo viejo;100;ayutla de los libres-cerro gordo viejo
ayutla de los libres-el capulin;100;ayutla de los libres-el capulin
jose joaquin de herrera-quetzalapa;100;jose joaquin de herrera-quetzalapa
tecpan de galeana-platanillo;100;tecpan de galeana-platanillo
arcelia-san miguelito;100;arcelia-san miguelito
tecpan de galeana-los pitos;100;tecpan de galeana-los pitos
acapulco de juarez-el bejuco;100;acapulco de juarez-el bejuco
teloloapan-telixtac;100;teloloapan-telixtac
teloloapan-tetzilacatlan;100;teloloapan-tetzilacatlan
atenango del rio-comala de gomez;100;atenango del rio-comala de gomez
tecpan de galeana-papanoa;100;tecpan de galeana-papanoa
olinala-limontitlan;100;olinala-limontitlan
chilapa de alvarez-vista hermosa;100;chilapa de alvarez-vista hermosa
pedro ascencio alquisiras-cuahuazalpa;100;pedro ascencio alquisiras-cuahuazalpa
juchitan-juchitan;100;juchitan-juchitan
san miguel totolapan-san miguel totolapan;100;san miguel totolapan-san miguel totolapan
apaxtla-ciudad apaxtla de castrejon;100;apaxtla-ciudad apaxtla de castrejon
cuajinicuilapa-el terrero;100;cuajinicuilapa-el terrero
atlixtac-el duraznal;100;atlixtac-el duraznal
tecoanapa-tehuitzingo;100;tecoanapa-tehuitzingo
tecpan de galeana-cacahuananches;100;tecpan de galeana-cacahuananches
tecpan de galeana-la zarza;100;tecpan de galeana-la zarza
pedro ascencio alquisiras-amate de la piedra;100;pedro ascencio alquisiras-amate de la piedra
tecpan de galeana-el moreno (ruben figueroa);100;tecpan de galeana-el moreno (ruben figueroa)
